a "3 bins" c "10 bins" e
0 1.3159416831683168 0.0030348244274789977 1.315490792079208 0.0030388675132985983
1 1.0587462742574258 0.0025321260165671847 1.0664452089108911 0.002704067608504215
2 1.0759371198019803 0.0032240078739807863 1.094370608910891 0.0031347069713393975
3 1.0984240584158416 0.004026101215777136 1.1287725 0.0039006409893163276
4 1.1046533960396039 0.004082371789002354 1.137455607920792 0.003909533404625392
5 1.1000414841584158 0.003932072347415923 1.1349140495049506 0.003612303505590252
6 1.0922061900990099 0.003618374019860167 1.1247247227722772 0.00336435001369485
7 1.0836854277227723 0.00330101556127711 1.1123198782178219 0.0031154395034720533
8 1.0798448554455446 0.003040765331852095 1.1042888613861386 0.0028940471077097247
9 1.0723427693069307 0.002800125544676874 1.0947196079207921 0.002638172499701651
10 1.0670864514851486 0.0026723148275528586 1.0876092930693069 0.0025404952361626136
