a "3 bins" c "10 bins" e
0 13339.9 30.307904754809734 13330.3 30.659583556987428
1 10866.568 33.59891845304223 11048.809 34.24767436640725
2 10966.282 38.625831042935026 11248.537 38.221013995097124
3 11078.528 43.223798982051306 11475.456 40.367033421834805
4 11021.063 39.35176670461353 11368.235 34.156366230086654
5 10896.465 33.81622047362594 11212.921 31.53454889345671
6 10820.247 30.60873215031213 11079.111 28.78754575941196
7 10749.931 27.673504723736453 10982.977 27.065292854896207
8 10692.974 26.977775614854547 10898.452 25.06266431610246
9 10649.567 25.283983577612588 10818.155 24.074534564637876
10 10605.622 23.941883915396495 10751.187 22.601837605865594
